,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamUse_Rate,Electricity_Rate,NaturalGas_Rate,GFABuildingRate,GFAParkingRate,GFALargestPropertyUseRate,TotalUseTypeNumber,BuildingAge
55,1,2,7,47.62023,-122.35951,0.6931471805599453,1.9459101490553132,11.955063170746223,8,4.406719247264253,6836900.0,152.76,0.0,0.66681,0.33319,0.56750458935566,0.2119936212295088,0.6931471805599453,0.6931471805599453,18
56,1,3,4,47.63442,-122.30793,0.6931471805599453,1.3862943611198906,10.934409692234288,9,4.343805421853684,3234787.75,146.34,0.0,0.1706,0.8294,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,105
57,1,2,7,47.62519,-122.34456,0.6931471805599453,1.6094379124341003,11.719476112310662,8,4.553876891600541,5337334.0,171.64,0.0,0.45411,0.54589,0.4915571737717085,0.31125698748014924,0.4915571737717085,1.0986122886681098,17
58,1,17,1,47.60823,-122.30956,0.6931471805599453,1.0986122886681098,10.914815699745034,18,4.276666119016055,3375211.0,87.98,0.0,0.58611,0.41389,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,54
59,1,16,12,47.55837,-122.37751,0.6931471805599453,1.791759469228055,12.290432176147913,36,4.007333185232471,42792072.0,1727.11,0.0,0.27633,0.72367,0.6931471805599453,0.0,0.8593859329300533,1.0986122886681098,94
60,1,16,10,47.72426,-122.35599,0.6931471805599453,1.0986122886681098,11.444625210711436,36,0.6931471805599453,16402563.0,609.1,0.0,0.34626,0.65374,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,46
61,1,2,6,47.61988,-122.33211,0.6931471805599453,1.9459101490553132,11.339809407255666,8,4.31748811353631,3706100.25,67.06,0.0,0.75893,0.24107,0.5616080877018799,0.22034764641219184,0.5616080877018799,1.0986122886681098,8
63,1,7,4,47.61244,-122.3214,0.0,1.3862943611198906,12.095224880194644,14,3.8918202981106265,16701055.0,430.84,0.0,0.59197,0.40803,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,51
64,1,2,4,47.60898,-122.32693,0.6931471805599453,2.0794415416798357,11.246770023062728,8,4.276666119016055,7258758.5,262.75,0.0,0.36656,0.63344,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,108
65,1,8,4,47.60845,-122.32637,0.6931471805599453,1.9459101490553132,11.510733063413314,14,,15473117.0,481.97,0.29589574767628335,0.65567,0.0,0.6452061557696055,0.08949329448276003,0.3383490457412147,1.9459101490553132,33
66,1,14,6,47.62237,-122.33805,0.6931471805599453,1.0986122886681098,10.973717513311941,34,4.574710978503383,1049748.625,39.06,0.0,0.34466,0.65534,0.6931471805599453,0.0,0.8045991058540883,0.6931471805599453,87
67,1,5,6,47.62424,-122.33646,0.6931471805599453,1.791759469228055,12.664468539937253,18,4.574710978503383,13795954.0,138.85,0.0,0.93296,0.06704,0.6931471805599453,0.0,0.6030911733840904,1.6094379124341003,6
68,1,2,6,47.62642,-122.33325,0.6931471805599453,2.0794415416798357,12.552721495745804,8,3.6375861597263857,19459304.0,526.85,0.0,0.56429,0.43571,0.6107107769474762,0.14691887899200615,0.6062703399744331,1.0986122886681098,26
69,2,10,7,47.62208,-122.35398,0.6931471805599453,0.6931471805599453,12.871337193291367,19,,23658978.0,607.41,0.2291574316309863,0.60946,0.02911,0.6931471805599453,0.0,0.6657862612032921,0.6931471805599453,54
70,2,10,7,47.62208,-122.35398,0.6931471805599453,0.6931471805599453,11.420963673053087,19,,8141155.5,344.2,0.40951688854826235,0.46113,0.0,0.6931471805599453,0.0,0.5380243616919466,0.6931471805599453,54
71,2,10,7,47.62208,-122.35398,0.6931471805599453,1.791759469228055,12.889386638375425,19,,20955026.0,804.2,0.3824966749324923,0.34609,0.0,0.6931471805599453,0.0,0.532467734644979,0.6931471805599453,78
72,1,5,6,47.62112,-122.33629,0.6931471805599453,2.5649493574615367,13.255722255149015,18,4.5217885770490405,39605888.0,617.52,0.0,0.81317,0.18683,0.6931471805599453,0.0,0.7169027689143417,1.3862943611198906,6
73,2,10,7,47.62395,-122.35077,0.6931471805599453,1.0986122886681098,10.859018228147887,19,,2726369.0,101.83,0.3653511961715896,0.47439,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,54
74,2,10,7,47.62395,-122.35077,0.6931471805599453,0.6931471805599453,11.013649552432474,19,,875943.3125,6.11,0.0,1.0,0.0,0.6931471805599453,0.0,1.0222206853714761,0.6931471805599453,88
75,2,10,7,47.62395,-122.35143,0.6931471805599453,1.0986122886681098,12.476286788157395,19,,20723248.0,490.73,0.2214621385316716,0.65205,0.0,0.6931471805599453,0.0,0.7559153856122872,0.6931471805599453,88
76,1,17,7,47.62391,-122.34837,0.0,1.0986122886681098,11.101054885563546,18,,4166306.25,29.04,0.0,1.0,0.0,0.6752326696496419,0.03489405897732069,0.5264607555744034,1.791759469228055,30
77,1,5,7,47.62419,-122.34443,0.6931471805599453,1.9459101490553132,13.732779824116589,18,4.543294782270004,36667044.0,674.09,0.0,0.75264,0.24736,0.5128835048754348,0.28510375143698047,0.5836168722766348,1.3862943611198906,6
78,1,17,7,47.62053,-122.35842,0.6931471805599453,1.6094379124341003,11.241300451833114,18,4.23410650459726,3476212.5,48.76,0.0,0.8471,0.1529,0.5066790385520622,0.2928412410250979,0.4928530808433804,1.3862943611198906,46
